# 破窗起点(migration commit)。终点见 scripts/wait-for-deploy.sh 打印的 success 时刻。
# applied_at	migration	head_sha_at_apply
2026-08-27T01:39:14+0800	2026-08-27-fxrates1-one-write-path-history-and-month-end-readiness.sql	247838c
2026-08-27T01:40:51+0800	2026-08-27-fxrates1-fu1-found-belongs-to-the-last-statement.sql	247838c
2026-08-27T01:44:27+0800	2026-08-27-fxrates1-fu2-a-bulk-wrapper-that-loops-the-one-function.sql	247838c
2026-08-27T16:13:48+0800	2026-08-27-aging1-as-at-a-date.sql	79341a7
2026-08-27T19:02:31+0800	2026-08-27-probation1-a-door-for-the-probation-review.sql	8acc7b9
2026-08-27T21:07:25+0800	2026-08-27-statement1-customer-statements-of-account.sql	67b7ab9
2026-08-27T23:52:28+0800	2026-08-27-chase1-collection-records.sql	5ab4c0d
2026-08-28T00:06:15+0800	2026-08-28-chase1-fu1-next-chase-code-invoker.sql	5ab4c0d
2026-08-28T00:54:03+0800	2026-08-28-chase1-fu2-overdue-on-the-promised-date.sql	70f8b16
2026-08-28T02:13:52+0800	2026-08-28-cashflow1-expected-dates-and-13-week-forecast.sql	48d6a1f
2026-08-28T02:16:28+0800	2026-08-28-cashflow1-fu1-expected-date-default-null.sql	48d6a1f
2026-08-28T03:36:43+0800	2026-08-28-claim1-employee-expense-claims.sql	c9aac03
2026-08-28T13:58:59+0800	2026-08-28-attend1-attendance-as-payroll-input.sql	3afde1d
2026-08-28T14:20:28+0800	2026-08-28-attend1-fu1-unpaid-days-is-invoker.sql	3afde1d
2026-08-28T15:18:48+0800	2026-08-28-attend1-fu2-headcount-was-counting-scratch-rows.sql	8556ded
2026-08-28T16:42:19+0800	2026-08-28-wht1-withholding-tax-on-non-resident-payments.sql	8ed2b4a
2026-08-28T17:47:28+0800	2026-08-28-wht1-fu1-the-liability-view-must-ask-who-is-reading.sql	8ed2b4a
2026-08-28T18:14:00+0800	2026-08-28-wht1-fu2-not-subject-to-withholding-is-not-a-reason-to-refuse.sql	8ed2b4a
2026-08-28T22:20:02+0800	2026-08-28-glexport1-general-ledger-export-and-the-monthly-pack.sql	2b0606b
2026-08-28T22:24:48+0800	2026-08-28-glexport1-fu1-the-supersede-order-needs-a-deferred-key.sql	2b0606b
2026-08-29T01:24:39+0800	2026-08-29-capex1-capitalising-onto-a-running-machine.sql	376ebd8
2026-08-29T07:03:26+0800	2026-08-29-party1-counterparty-contacts-and-the-overlap-report.sql	301777f
2026-08-29T15:13:18+0800	2026-08-29-kpi1-positions-and-the-kpi-framework.sql	284e96e
2026-08-29T16:21:28+0800	2026-08-29-kpi1-fu1-employees-masked-needs-position-id.sql	284e96e
2026-08-29T17:29:01+0800	2026-08-29-kpi1-fu2-grant-position-id.sql	284e96e
2026-08-29T18:26:56+0800	2026-08-29-kpi1-fu3-functions-that-still-read-job-title.sql	284e96e
2026-08-29T18:53:46+0800	2026-08-29-kpi1-fu4-import-takes-a-position-code.sql	284e96e
2026-08-30T00:11:20+0800	2026-08-30-contract1-the-contract-register.sql	fd0ece4
2026-08-30T00:24:31+0800	2026-08-30-contract1-fu1-null-material-needs-its-own-unique.sql	fd0ece4
2026-08-30T13:07:28+0800	2026-08-30-price1-index-linked-pricing.sql	9159fc6
2026-08-30T13:18:50+0800	2026-08-30-price1-fu1-average-refuses-by-name-on-permission.sql	9159fc6
2026-08-30T13:43:41+0800	2026-08-30-price1-fu2-drop-an-unreachable-refusal.sql	9159fc6
2026-08-30T14:53:22+0800	2026-08-30-settle1-the-settlement-basis.sql	69d5ca1
2026-08-30T15:13:32+0800	2026-08-30-settle1-fu1-align-the-column-comment.sql	69d5ca1
2026-08-30T16:46:50+0800	2026-08-30-comm1-commission-terms-and-price-exposure.sql	af9f011
2026-08-30T18:20:32+0800	2026-08-30-chainbuild1-both-levels-point-at-a-role.sql	7fdfa02
2026-08-30T20:18:35+0800	2026-08-30-cmpl1-own-licence-limits-and-import-diligence.sql	d68dc05
2026-08-30T20:35:23+0800	2026-08-30-cmpl1-fu-a-redundant-null-clause-hid-the-enum.sql	d68dc05
2026-08-30T20:45:40+0800	2026-08-30-cmpl1-fu2-a-masked-table-needs-three-changes-not-one.sql	d68dc05
2026-08-30T22:48:18+0800	2026-08-30-procbuild1-loss-categories-forms-and-saleability.sql	3ca72f9
2026-08-30T23:44:59+0800	2026-08-30-procbuild1-fu1-not-applicable-is-not-unset.sql	3ca72f9
2026-08-31T01:10:59+0800	2026-08-31-procwire1a-state-dictionary-and-the-processing-earmark.sql	cbf58f9
2026-08-31T02:19:18+0800	2026-08-31-procwire1bi-operations-wired-and-the-discharge-deadlock.sql	6700288
2026-08-31T02:25:39+0800	2026-08-31-procwire1bi-fu1-a-masked-table-needs-three-changes.sql	6700288
2026-08-31T11:03:32+0800	2026-08-31-proccost1-processing-cost-capitalises-onto-the-input-batch.sql	608a308
2026-08-31T11:09:56+0800	2026-08-31-proccost1-fu1-a-carrier-row-must-name-an-input-of-its-own-run.sql	608a308
2026-08-31T11:48:48+0800	2026-08-31-proccost1-fu2-the-cost-reader-must-not-lose-rows-to-rls.sql	608a308
2026-08-31T11:50:09+0800	2026-08-31-proccost1-fu3-a-zero-cost-discharge-writes-no-carrier-row.sql	608a308
2026-08-31T13:17:07+0800	2026-08-31-proccost2-write-off-at-landed-cost-and-two-reversal-asymmetries.sql	7af4b94
2026-08-31T14:15:52+0800	2026-08-31-procwire1bii-an-assertion-that-cannot-see-must-refuse-by-name.sql	528454b
2026-08-31T14:22:45+0800	2026-08-31-procwire1bii-fu1-a-state-changing-operation-may-now-take-produced-material.sql	528454b
2026-08-31T15:36:50+0800	2026-08-31-proc1biii-the-purchase-time-judgement-and-reservations-outrank-the-earmark.sql	f7ba05c
2026-08-31T15:58:07+0800	2026-08-31-proc1biii-fu1-a-masked-table-needs-three-changes-again.sql	f7ba05c
2026-08-31T17:41:15+0800	2026-08-31-invval1-the-valuation-report-the-close-gate-and-the-fields-already-mandatory.sql	06431a4
2026-08-31T17:45:52+0800	2026-08-31-invval1-fu1-the-screen-must-read-the-same-basis.sql	06431a4
2026-08-31T17:53:46+0800	2026-08-31-invval1-fu2-the-money-table-must-count-what-the-quantity-table-counts.sql	06431a4
2026-08-31T17:56:10+0800	2026-08-31-invval1-fu3-the-database-owns-the-word-today.sql	06431a4
2026-08-31T17:59:15+0800	2026-08-31-invval1-fu4-the-default-belongs-in-the-signature.sql	06431a4
2026-08-31T18:23:24+0800	2026-08-31-invval1-fu5-restore-the-comments-i-retyped-away.sql	06431a4
2026-08-31T19:33:45+0800	2026-08-31-invval1-fu6-a-view-owner-does-not-lend-you-execute.sql	1fd59b5
2026-08-31T19:46:18+0800	2026-08-31-invval1-fu6-a-view-owner-does-not-lend-you-execute.sql	1fd59b5
2026-08-31T22:36:26+0800	2026-08-31-cleanupa-a-restricted-reader-gets-a-name-not-a-smaller-number.sql	7e4e9e1
2026-08-31T23:35:31+0800	2026-08-31-cleanupa-fu1-a-posting-primitive-must-not-ask-who-pressed-the-button.sql	7e4e9e1
2026-09-01T00:07:39+0800	2026-09-01-cleanupa-fu2-the-line-changed-and-the-sentence-beside-it-did-not.sql	7e4e9e1
2026-09-01T01:12:23+0800	2026-09-01-eqppay1-a-the-cfo-grant.sql	69eb439
2026-09-01T01:14:20+0800	2026-09-01-eqppay1-b-equipment-milestones-and-retention.sql	69eb439
2026-09-01T01:18:48+0800	2026-09-01-eqppay1-b-fu1-the-mixed-order-guard-already-existed.sql	69eb439
2026-09-01T01:45:01+0800	2026-09-01-eqppay1-b-fu2-the-document-phrase-comes-from-the-dictionary.sql	69eb439
2026-09-01T01:50:25+0800	2026-09-01-eqppay1-b-fu3-a-machine-can-be-ordered-with-or-without-retention.sql	69eb439
2026-09-01T10:04:33+0800	2026-09-01-procsupport1-a-an-operation-is-not-optional.sql	8ccbd0c
2026-09-01T11:12:19+0800	2026-09-01-procsupport1-fu1-the-ruling-was-made-so-the-sentence-beside-it-must-change.sql	8ccbd0c
2026-09-01T12:35:41+0800	2026-09-01-tidy1-three-english-labels-were-the-wrong-industry-terms.sql	2c6c761
2026-09-01T14:15:40+0800	2026-09-01-audit1-batch-audit-trail.sql	e2b28bf
2026-09-01T14:29:05+0800	2026-09-01-audit1-revoke-inner-view.sql	e2b28bf
2026-09-01T16:08:53+0800	2026-09-01-recvsource1-a-receipt-must-say-where-it-came-from.sql	102eaa9
2026-09-01T19:58:59+0800	2026-09-01-navreg1-logistics-gets-its-own-code.sql	bbbe455
2026-09-02T16:57:19+0800	2026-09-02-iabuild1-the-dock-is-personal-so-it-must-follow-the-person.sql	6503a5c
2026-09-02T20:08:17+0800	2026-09-02-chart0-the-dock-can-be-put-away-and-that-choice-is-the-persons-own.sql	526e119
2026-09-03T01:23:18+0800	2026-09-03-navcleanup1-deleted-records-gets-its-own-permission-code.sql	611e3af
2026-09-03T04:29:58+0800	2026-09-03-tools1-weight-basis-primitive-and-bilingual-pricing-notes.sql	4eefe8a
2026-09-03T15:36:06+0800	2026-09-03-pogst1-a-purchase-order-carries-tax.sql	8165cc4
2026-09-03T15:38:21+0800	2026-09-03-pogst1-fu1-the-tax-total-must-not-be-granted-on-the-base-table.sql	8165cc4
2026-09-03T16:05:12+0800	2026-09-03-pogst1-fu2-gross-is-computed-in-one-place.sql	8165cc4
2026-09-03T16:10:28+0800	2026-09-03-pogst1-fu3-the-order-list-shows-tax-too.sql	8165cc4
2026-09-04T09:14:59+0800	2026-09-04-conv6-the-dock-is-deleted-so-the-table-goes-with-it.sql	7d1ffab
2026-09-04T19:47:31+0800	2026-09-04-c1-guard-last-admin-counts-real-holders.sql	3b3a992
2026-09-04T22:55:53+0800	2026-09-04-c1b-two-dictionaries-are-material-master-data.sql	dead3bb
